Country,variable,value
Austria,2018,9.64
Belgium,2018,13.69
Bulgaria,2018,
Croatia,2018,10
Cyprus,2018,16.57
Czechia,2018,9.4
Denmark,2018,
Estonia,2018,15.3
Finland,2018,
France,2018,11.27
Germany,2018,
Greece,2018,
Hungary,2018,8.9
Ireland,2018,
Italy,2018,12
Latvia,2018,
Lithuania,2018,
Luxembourg,2018,11.7
Malta,2018,
Netherlands,2018,3.7
Norway,2018,
Poland,2018,11.82
Portugal,2018,8.1
Romania,2018,
Slovakia,2018,10.3
Slovenia,2018,6.3
Spain,2018,10.67
Sweden,2018,13
Turkey,2018,3.31
United Kingdom,2018,
Austria,2017,9.64
Belgium,2017,11.84
Bulgaria,2017,
Croatia,2017,9.5
Cyprus,2017,
Czechia,2017,10.7426316
Denmark,2017,
Estonia,2017,15
Finland,2017,
France,2017,12.04
Germany,2017,
Greece,2017,
Hungary,2017,8.9
Ireland,2017,
Italy,2017,12
Latvia,2017,
Lithuania,2017,
Luxembourg,2017,12.3
Malta,2017,
Netherlands,2017,6.6
Norway,2017,
Poland,2017,10.56
Portugal,2017,8.3
Romania,2017,14.41
Slovakia,2017,10.8
Slovenia,2017,10.9
Spain,2017,10.09
Sweden,2017,9.4
Turkey,2017,3.31
United Kingdom,2017,
Austria,2016,10.75
Belgium,2016,12.11
Bulgaria,2016,
Croatia,2016,10.7
Cyprus,2016,
Czechia,2016,7.41
Denmark,2016,
Estonia,2016,13.9
Finland,2016,
France,2016,11.4
Germany,2016,
Greece,2016,
Hungary,2016,8.7
Ireland,2016,
Italy,2016,10.8
Latvia,2016,
Lithuania,2016,
Luxembourg,2016,9.92
Malta,2016,
Netherlands,2016,6.9
Norway,2016,
Poland,2016,9.9
Portugal,2016,7.2
Romania,2016,
Slovakia,2016,
Slovenia,2016,17.8
Spain,2016,10.1
Sweden,2016,9.2
Turkey,2016,25.88
United Kingdom,2016,
Austria,2015,9.82
Belgium,2015,21.7
Bulgaria,2015,12.3
Croatia,2015,5.7
Cyprus,2015,
Czechia,2015,8.334
Denmark,2015,
Estonia,2015,13.5
Finland,2015,6.8
France,2015,11.4
Germany,2015,
Greece,2015,
Hungary,2015,6.8
Ireland,2015,
Italy,2015,8.9
Latvia,2015,
Lithuania,2015,
Luxembourg,2015,11.33
Malta,2015,6
Netherlands,2015,5.8
Norway,2015,
Poland,2015,10
Portugal,2015,8.3
Romania,2015,12.76
Slovakia,2015,12.1
Slovenia,2015,7.2
Spain,2015,
Sweden,2015,8.1
Turkey,2015,2.65
United Kingdom,2015,
Austria,2014,8.94
Belgium,2014,13
Bulgaria,2014,13.1
Croatia,2014,8.9
Cyprus,2014,
Czechia,2014,8.181
Denmark,2014,
Estonia,2014,12.7
Finland,2014,2.7
France,2014,13
Germany,2014,
Greece,2014,
Hungary,2014,7.2
Ireland,2014,
Italy,2014,10.5
Latvia,2014,
Lithuania,2014,
Luxembourg,2014,11.22
Malta,2014,7
Netherlands,2014,4.8
Norway,2014,
Poland,2014,11
Portugal,2014,7.8
Romania,2014,15.47
Slovakia,2014,9
Slovenia,2014,8.5
Spain,2014,
Sweden,2014,7.7
Turkey,2014,
United Kingdom,2014,
Austria,2013,9.56
Belgium,2013,10.41
Bulgaria,2013,9.1
Croatia,2013,7.8
Cyprus,2013,
Czechia,2013,9.98
Denmark,2013,
Estonia,2013,13.4
Finland,2013,
France,2013,12.7
Germany,2013,
Greece,2013,
Hungary,2013,6.5
Ireland,2013,
Italy,2013,12.4
Latvia,2013,
Lithuania,2013,
Luxembourg,2013,8.48
Malta,2013,6.75
Netherlands,2013,4.8
Norway,2013,
Poland,2013,9.81
Portugal,2013,6.6
Romania,2013,9.45
Slovakia,2013,7.1
Slovenia,2013,7.5
Spain,2013,10.8
Sweden,2013,
Turkey,2013,3.81
United Kingdom,2013,
Austria,2012,9.71
Belgium,2012,13.17
Bulgaria,2012,3.5
Croatia,2012,6.3
Cyprus,2012,
Czechia,2012,7.1
Denmark,2012,
Estonia,2012,13.4
Finland,2012,
France,2012,10
Germany,2012,
Greece,2012,
Hungary,2012,5
Ireland,2012,
Italy,2012,8.5
Latvia,2012,
Lithuania,2012,
Luxembourg,2012,9.1
Malta,2012,7
Netherlands,2012,5.1
Norway,2012,10.8
Poland,2012,8.69
Portugal,2012,5.4
Romania,2012,6.34
Slovakia,2012,9.2
Slovenia,2012,7
Spain,2012,11
Sweden,2012,
Turkey,2012,3.11
United Kingdom,2012,
Austria,2011,7.02
Belgium,2011,10.7
Bulgaria,2011,3.7
Croatia,2011,5.7
Cyprus,2011,
Czechia,2011,7.2
Denmark,2011,
Estonia,2011,11.1
Finland,2011,4.6
France,2011,10.6
Germany,2011,
Greece,2011,
Hungary,2011,1
Ireland,2011,
Italy,2011,6.4
Latvia,2011,
Lithuania,2011,
Luxembourg,2011,11.28
Malta,2011,7.25
Netherlands,2011,5.7
Norway,2011,6.1
Poland,2011,9.63
Portugal,2011,5.2
Romania,2011,6.9
Slovakia,2011,7.7
Slovenia,2011,8.8
Spain,2011,11.2
Sweden,2011,
Turkey,2011,1.72
United Kingdom,2011,
Austria,2010,7.5
Belgium,2010,11.1
Bulgaria,2010,7.5
Croatia,2010,5.5
Cyprus,2010,
Czechia,2010,7.7
Denmark,2010,
Estonia,2010,10
Finland,2010,5.1
France,2010,9.8
Germany,2010,
Greece,2010,
Hungary,2010,1.3
Ireland,2010,7.9
Italy,2010,7.8
Latvia,2010,
Lithuania,2010,
Luxembourg,2010,11.84
Malta,2010,5.35
Netherlands,2010,6.6
Norway,2010,6
Poland,2010,7.6
Portugal,2010,5.2
Romania,2010,4.67
Slovakia,2010,7.7
Slovenia,2010,7.4
Spain,2010,9.5
Sweden,2010,
Turkey,2010,1.82
United Kingdom,2010,
Austria,2009,5.9
Belgium,2009,9.9
Bulgaria,2009,2.4
Croatia,2009,
Cyprus,2009,
Czechia,2009,4.2
Denmark,2009,
Estonia,2009,8
Finland,2009,4.6
France,2009,8.5
Germany,2009,
Greece,2009,
Hungary,2009,1.34
Ireland,2009,
Italy,2009,5.9
Latvia,2009,
Lithuania,2009,
Luxembourg,2009,11.18
Malta,2009,6.25
Netherlands,2009,9.9
Norway,2009,3.8
Poland,2009,7.7
Portugal,2009,3.8
Romania,2009,2.27
Slovakia,2009,12.4
Slovenia,2009,7
Spain,2009,7.7
Sweden,2009,
Turkey,2009,4.72
United Kingdom,2009,
Austria,2008,7.2
Belgium,2008,9.1
Bulgaria,2008,1.6
Croatia,2008,
Cyprus,2008,
Czechia,2008,5.5
Denmark,2008,
Estonia,2008,6.6
Finland,2008,4.9
France,2008,5.8
Germany,2008,
Greece,2008,
Hungary,2008,1.4
Ireland,2008,
Italy,2008,4.7
Latvia,2008,
Lithuania,2008,
Luxembourg,2008,9.75
Malta,2008,4.5
Netherlands,2008,8.4
Norway,2008,4.5
Poland,2008,6.85
Portugal,2008,4.8
Romania,2008,
Slovakia,2008,7.6
Slovenia,2008,8.7
Spain,2008,7.8
Sweden,2008,4.2
Turkey,2008,3.45
United Kingdom,2008,8.4
Austria,2007,6.7
Belgium,2007,9.2
Bulgaria,2007,1.5
Croatia,2007,
Cyprus,2007,
Czechia,2007,4.7
Denmark,2007,
Estonia,2007,
Finland,2007,4.3
France,2007,7.5
Germany,2007,
Greece,2007,
Hungary,2007,1.2
Ireland,2007,
Italy,2007,2.2
Latvia,2007,
Lithuania,2007,
Luxembourg,2007,10.21
Malta,2007,
Netherlands,2007,6
Norway,2007,3
Poland,2007,5.22
Portugal,2007,3.9
Romania,2007,
Slovakia,2007,4.9
Slovenia,2007,5.3
Spain,2007,7.9
Sweden,2007,
Turkey,2007,2.94
United Kingdom,2007,
Austria,2006,7.2
Belgium,2006,6.7
Bulgaria,2006,2
Croatia,2006,
Cyprus,2006,
Czechia,2006,4.5
Denmark,2006,
Estonia,2006,2
Finland,2006,3.4
France,2006,7.8
Germany,2006,7.8
Greece,2006,
Hungary,2006,1.8
Ireland,2006,
Italy,2006,5.4
Latvia,2006,
Lithuania,2006,
Luxembourg,2006,
Malta,2006,5.5
Netherlands,2006,5.5
Norway,2006,
Poland,2006,1.34
Portugal,2006,6.3
Romania,2006,
Slovakia,2006,6.4
Slovenia,2006,
Spain,2006,7.9
Sweden,2006,
Turkey,2006,
United Kingdom,2006,11.3
Austria,2005,5.6
Belgium,2005,10.3
Bulgaria,2005,2.4
Croatia,2005,
Cyprus,2005,
Czechia,2005,3.8
Denmark,2005,
Estonia,2005,3.31
Finland,2005,
France,2005,6.1
Germany,2005,9
Greece,2005,
Hungary,2005,1.7
Ireland,2005,
Italy,2005,
Latvia,2005,
Lithuania,2005,
Luxembourg,2005,
Malta,2005,8.5
Netherlands,2005,6.7
Norway,2005,
Poland,2005,1.01
Portugal,2005,3
Romania,2005,
Slovakia,2005,6.1
Slovenia,2005,
Spain,2005,7.3
Sweden,2005,
Turkey,2005,0.37
United Kingdom,2005,13.48
Austria,2004,4.8
Belgium,2004,13.29
Bulgaria,2004,
Croatia,2004,
Cyprus,2004,
Czechia,2004,3
Denmark,2004,
Estonia,2004,
Finland,2004,
France,2004,8
Germany,2004,10.8
Greece,2004,
Hungary,2004,1.7
Ireland,2004,
Italy,2004,5.78
Latvia,2004,
Lithuania,2004,
Luxembourg,2004,
Malta,2004,4.7
Netherlands,2004,7
Norway,2004,
Poland,2004,0.6
Portugal,2004,3.5
Romania,2004,
Slovakia,2004,2.6
Slovenia,2004,
Spain,2004,7.9
Sweden,2004,
Turkey,2004,0.41
United Kingdom,2004,12.7
Austria,2003,
Belgium,2003,13.8
Bulgaria,2003,2
Croatia,2003,
Cyprus,2003,
Czechia,2003,9.2
Denmark,2003,
Estonia,2003,
Finland,2003,1
France,2003,8.5
Germany,2003,
Greece,2003,
Hungary,2003,1.2
Ireland,2003,
Italy,2003,7.85
Latvia,2003,2.2
Lithuania,2003,
Luxembourg,2003,
Malta,2003,7
Netherlands,2003,20.3
Norway,2003,4
Poland,2003,
Portugal,2003,1.4
Romania,2003,
Slovakia,2003,3.8
Slovenia,2003,
Spain,2003,5.3
Sweden,2003,
Turkey,2003,0.34
United Kingdom,2003,10.7
Austria,2002,9
Belgium,2002,6
Bulgaria,2002,
Croatia,2002,
Cyprus,2002,
Czechia,2002,
Denmark,2002,
Estonia,2002,
Finland,2002,2
France,2002,8
Germany,2002,8.4
Greece,2002,
Hungary,2002,0.5
Ireland,2002,
Italy,2002,4.89
Latvia,2002,1.5
Lithuania,2002,
Luxembourg,2002,7.96
Malta,2002,
Netherlands,2002,18
Norway,2002,8
Poland,2002,
Portugal,2002,3.1
Romania,2002,
Slovakia,2002,3.1
Slovenia,2002,
Spain,2002,4.5
Sweden,2002,
Turkey,2002,0.35
United Kingdom,2002,10.8
